date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:52	2163/2163	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Sep%202023%2018:44:53%20GMT	https://preview.colorlib.com/theme/coffeeblend/css/owl.video.play.png	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/owl.video.play.png	(from https://preview.colorlib.com/theme/coffeeblend/css/owl.carousel.min.css)
00:14:53	50592/50592	---M--	200	added ('OK')	font/woff2	etag:%22c5a0-577022a304640%22	https://preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons580c.woff2	(from https://preview.colorlib.com/theme/coffeeblend/css/ionicons.min.css)
00:14:53	112826/112826	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221b8ba-57702294b6480%22	https://preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons.eot?v=4.0.0-19	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons580c.eot	(from https://preview.colorlib.com/theme/coffeeblend/css/ionicons.min.css)
00:14:53	66024/66024	---M--	200	added ('OK')	font/woff	etag:%22101e8-577022a210400%22	https://preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons580c.woff	(from https://preview.colorlib.com/theme/coffeeblend/css/ionicons.min.css)
00:14:54	112648/112648	---MCZ	200	added ('OK')	font/ttf	etag:W/%221b808-577022a027f80%22	https://preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons.ttf?v=4.0.0-19	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons580c.ttf	(from https://preview.colorlib.com/theme/coffeeblend/css/ionicons.min.css)
00:14:54	4262/4262	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2210a6-577022781a100%22	https://preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.eot	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/coffeeblend/css/flaticon.css)
00:14:54	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c76f-577022a11c1c0%22	https://preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/ionicons/fonts/ionicons580c.svg	(from https://preview.colorlib.com/theme/coffeeblend/css/ionicons.min.css)
00:14:54	4262/4262	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2210a6-577022781a100%22	https://preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.eot?	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/coffeeblend/css/flaticon.css)
00:14:55	2852/2852	---M--	200	added ('OK')	font/woff	etag:%22b24-5770227cdec40%22	https://preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.woff	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/coffeeblend/css/flaticon.css)
00:14:55	4084/4084	---MCZ	200	added ('OK')	font/ttf	etag:W/%22ff4-5770227beaa00%22	https://preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.ttf	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/coffeeblend/css/flaticon.css)
00:14:56	27024/27024	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226990-5770227beaa00%22	https://preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.svg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/coffeeblend/css/flaticon.css)
00:14:57	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-577022120f040%22	https://preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoon.eot?6tt51o	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoonccfb.eot	(from https://preview.colorlib.com/theme/coffeeblend/css/icomoon.css)
00:14:57	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-5770222521d40%22	https://preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoon.ttf?6tt51o	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoonccfb.ttf	(from https://preview.colorlib.com/theme/coffeeblend/css/icomoon.css)
00:14:58	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-5770224776e40%22	https://preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoon.woff?6tt51o	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoonccfb.woff	(from https://preview.colorlib.com/theme/coffeeblend/css/icomoon.css)
00:14:58	118149/118149	---M--	200	added ('OK')	image/jpeg	etag:%221cd85-57702172cb880%22	https://preview.colorlib.com/theme/coffeeblend/images/dish-4.jpg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/images/dish-4.jpg	(from https://preview.colorlib.com/theme/coffeeblend/menu.html)
00:14:58	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-5770223cf9580%22	https://preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoon.svg?6tt51o	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/fonts/icomoon/icomoonccfb.svg	(from https://preview.colorlib.com/theme/coffeeblend/css/icomoon.css)
00:14:58	249621/249621	---M--	200	added ('OK')	image/jpeg	etag:%223cf15-5770213c6f840%22	https://preview.colorlib.com/theme/coffeeblend/images/bg_4.jpg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/images/bg_4.jpg	(from https://preview.colorlib.com/theme/coffeeblend/css/style.css)
00:14:59	241696/241696	---M--	200	added ('OK')	image/jpeg	etag:%223b020-577021769c180%22	https://preview.colorlib.com/theme/coffeeblend/images/dish-5.jpg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/images/dish-5.jpg	(from https://preview.colorlib.com/theme/coffeeblend/menu.html)
00:15:00	107533/107533	---M--	200	added ('OK')	image/jpeg	etag:%221a40d-57702177903c0%22	https://preview.colorlib.com/theme/coffeeblend/images/dish-6.jpg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/images/dish-6.jpg	(from https://preview.colorlib.com/theme/coffeeblend/menu.html)
00:15:00	86715/86715	---M--	200	added ('OK')	image/jpeg	etag:%22152bb-5770217f315c0%22	https://preview.colorlib.com/theme/coffeeblend/images/dish-7.jpg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/images/dish-7.jpg	(from https://preview.colorlib.com/theme/coffeeblend/menu.html)
00:15:00	56427/56427	---M--	200	added ('OK')	image/jpeg	etag:%22dc6b-5770217f315c0%22	https://preview.colorlib.com/theme/coffeeblend/images/dish-8.jpg	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/images/dish-8.jpg	(from https://preview.colorlib.com/theme/coffeeblend/menu.html)
